ro,STATIONS_ID,MESS_DATUM_BEGINN,MESS_DATUM_ENDE,QN_4,MO_N,MO_TT,MO_TX,MO_TN,MO_FK,MX_TX,MX_FX,MX_TN,MO_SD_S,QN_6,MO_RR,MX_RS
0,       2905,20180601,20180630,    3,  -999,  17.31,    -999,    -999,    2.10,  -999,  -999,-999,-999,-999,-999,-999
1,       2905,20180701,20180731,    3,  -999,  19.31,    -999,    -999,    2.13,  -999,  -999,-999,-999,-999,-999,-999
2,       2905,20180801,20180831,    3,  -999,  20.00,    -999,    -999,    2.10,  -999,  -999,-999,-999,-999,-999,-999
3,       2905,20180901,20180930,    3,  -999,  14.94,    -999,    -999,    2.17,  -999,  -999,-999,-999,-999,-999,-999
4,       2905,20181001,20181031,    3,  -999,   9.67,    -999,    -999,    2.26,  -999,  -999,-999,-999,-999,-999,-999
5,       2905,20181101,20181130,    3,  -999,   3.66,    -999,    -999,    2.10,  -999,  -999,-999,-999,-999,-999,-999
6,       2905,20181201,20181231,    3,  -999,   2.47,    -999,    -999,    3.03,  -999,  -999,-999,-999,-999,-999,-999
7,       2905,20190101,20190131,    3,  -999,  -1.13,    -999,    -999,    2.97,  -999,  -999,-999,-999,-999,-999,-999
8,       2905,20190201,20190228,-999,-999,-999,-999,-999,-999,  -999,  -999,-999,-999,-999,-999,-999
9,       2905,20190301,20190331,    3,  -999,   5.88,    -999,    -999,    3.23,  -999,  -999,-999,-999,-999,-999,-999
10,       2905,20190401,20190430,    3,  -999,   8.95,    -999,    -999,    2.63,  -999,  -999,-999,-999,-999,-999,-999
11,       2905,20190501,20190531,    3,  -999,  10.21,    -999,    -999,    2.52,  -999,  -999,-999,-999,-999,-999,-999
12,       2905,20190601,20190630,    3,  -999,  18.96,    -999,    -999,    2.17,  -999,  -999,-999,-999,-999,-999,-999
13,       2905,20190701,20190731,    3,  -999,  19.13,    -999,    -999,    2.16,  -999,  -999,-999,-999,-999,-999,-999
14,       2905,20190801,20190831,    3,  -999,  18.40,    -999,    -999,    2.06,  -999,  -999,-999,-999,-999,-999,-999
15,       2905,20190901,20190930,-999,-999,-999,-999,-999,-999,  -999,  -999,-999,-999,-999,-999,-999
16,       2905,20191001,20191031,    1,  -999,  10.58,    -999,    -999,    2.48,  -999,  -999,-999,-999,-999,-999,-999
17,       2905,20191101,20191130,    1,  -999,   4.24,    -999,    -999,    2.23,  -999,  -999,-999,-999,-999,-999,-999
18,       2905,20191201,20191231,    1,  -999,   1.93,    -999,    -999,    2.42,  -999,  -999,-999,-999,-999,-999,-999
0,       3147,20180601,20180630,    3,  -999,  18.46,   24.02,   12.61,-999,  29.7,  -999,   6.6,-999,    9,   100.6,   40.0
1,       3147,20180701,20180731,    3,  -999,  20.35,   27.25,   13.35,-999,  34.7,  -999,   7.9,-999,    9,    36.7,   28.2
2,       3147,20180801,20180831,    3,  -999,  21.06,   27.91,   14.06,-999,  35.1,  -999,   5.4,-999,    9,    43.8,   11.3
3,       3147,20180901,20180930,    3,  -999,  15.34,   21.92,    9.61,-999,  28.6,  -999,   0.9,-999,    9,    41.3,   12.4
4,       3147,20181001,20181031,    3,  -999,  10.69,   16.85,    5.18,-999,  23.8,  -999,  -0.9,-999,    3,    42.2,   24.7
5,       3147,20181101,20181130,    3,  -999,   4.53,    7.53,    1.63,-999,  18.1,  -999,  -4.4,-999,    3,    28.9,   18.7
6,       3147,20181201,20181231,    3,  -999,   2.55,    4.91,    0.40,-999,  12.4,  -999,  -6.1,-999,    3,   105.3,   25.9
7,       3147,20190101,20190131,    3,  -999,  -0.41,    1.80,   -2.86,-999,   8.0,  -999,  -8.5,-999,    3,    61.5,    7.7
8,       3147,20190201,20190228,    3,  -999,   2.00,    7.41,   -2.67,-999,  16.7,  -999,  -7.8,-999,    3,    41.0,   15.1
9,       3147,20190301,20190331,    3,  -999,   6.65,   11.77,    1.65,-999,  18.5,  -999,  -3.4,-999,    3,    46.4,   13.7
10,       3147,20190401,20190430,    3,  -999,  10.62,   17.22,    4.11,-999,  27.7,  -999,  -0.6,-999,    3,    14.7,    4.8
11,       3147,20190501,20190531,    3,  -999,  11.42,   16.32,    6.23,-999,  23.4,  -999,   0.2,-999,    3,    73.6,   27.5
12,       3147,20190601,20190630,    3,  -999,  20.68,   27.51,   13.15,-999,  35.0,  -999,   8.3,-999,    3,    45.4,   23.5
13,       3147,20190701,20190731,    3,  -999,  19.93,   26.58,   13.29,-999,  35.7,  -999,   6.7,-999,    3,    52.0,   10.4
14,       3147,20190801,20190831,    3,  -999,  19.37,   25.44,   13.66,-999,  32.6,  -999,   8.0,-999,    3,    80.2,   13.7
15,       3147,20190901,20190930,    3,  -999,  14.40,   20.00,    8.92,-999,  28.3,  -999,   1.3,-999,    3,    39.7,   11.6
16,       3147,20191001,20191031,    1,  -999,  10.23,   14.78,    5.95,-999,  22.4,  -999,  -1.9,-999,    1,    53.4,   11.2
17,       3147,20191101,20191130,    1,  -999,   4.73,    7.66,    1.73,-999,  15.2,  -999,  -2.7,-999,    1,    30.8,    9.1
18,       3147,20191201,20191231,    1,  -999,   2.19,    5.44,   -1.06,-999,  14.3,  -999,  -6.8,-999,    1,    34.9,    8.1
0,       2597,20180601,20180630,    3,  4.96,  18.56,   24.19,   13.39,    2.10,  30.6,  14.4,   7.3, 236.80,    9,    53.8,   28.7
1,       2597,20180701,20180731,    3,  3.88,  21.17,   28.44,   13.72,    1.87,  36.5,  20.3,   9.4, 335.00,    9,    33.2,   15.2
2,       2597,20180801,20180831,    3,  -999,  20.62,   27.74,   13.53,    2.26,  35.6,  22.2,   5.7, 263.98,    9,    14.6,    6.1
3,       2597,20180901,20180930,    3,  -999,  14.91,   22.29,    8.62,    2.13,  30.2,  21.5,   0.7, 224.02,    9,    42.1,   18.5
4,       2597,20181001,20181031,    3,  5.07,  10.46,   16.78,    5.34,    2.13,  25.0,  18.4,  -0.7, 165.77,    3,    13.8,    3.9
5,       2597,20181101,20181130,    3,  6.77,   5.08,    7.94,    2.26,    1.97,  15.5,  13.8,  -2.3,  55.57,    3,     5.2,    1.2
6,       2597,20181201,20181231,    3,  7.51,   3.65,    5.66,    1.41,    2.45,  12.1,  18.1,  -3.1,  18.82,    3,    85.7,   18.7
7,       2597,20190101,20190131,    3,  7.02,   0.77,    2.85,   -1.74,    2.65,   8.3,  19.0, -10.5,  41.43,    3,    56.0,   15.8
8,       2597,20190201,20190228,    3,  5.63,   3.01,    8.34,   -1.49,    2.18,  18.2,  18.5,  -4.4, 132.63,    3,    23.6,   17.5
9,       2597,20190301,20190331,    3,  6.14,   6.92,   11.28,    2.49,    2.87,  19.3,  26.4,  -3.2, 126.98,    3,    67.6,   15.7
10,       2597,20190401,20190430,    3,  4.94,  10.46,   16.42,    4.59,    2.40,  25.9,  22.3,  -2.1, 225.83,    3,    26.5,    8.6
11,       2597,20190501,20190531,    3,  6.19,  11.31,   16.28,    6.10,    2.19,  23.6,  14.7,  -0.7, 182.50,    3,    90.0,   29.8
12,       2597,20190601,20190630,    3,  4.42,  19.71,   26.55,   12.65,    2.13,  35.3,  22.8,   5.8, 314.88,    3,    41.4,   12.2
13,       2597,20190701,20190731,    3,  -999,  19.82,   26.40,   13.13,    2.10,  38.3,  15.9,   6.7, 266.37,    3,    71.0,   54.1
14,       2597,20190801,20190831,    3,  5.14,  19.00,   25.83,   13.16,    1.97,  31.4,  18.4,   8.9, 225.10,    3,    58.6,   12.2
15,       2597,20190901,20190930,    3,  -999,  14.14,   19.83,    8.49,    2.27,  26.1,  20.0,   1.7, 186.03,    3,    23.3,    7.4
16,       2597,20191001,20191031,    1,  6.48,  10.43,   14.81,    6.59,    2.13,  24.4,  15.3,  -2.2,  90.40,    1,    62.1,   11.4
17,       2597,20191101,20191130,    1,  7.46,   5.14,    7.62,    2.35,    2.10,  14.2,  15.3,  -2.6,  38.53,    1,    71.2,   13.5
18,       2597,20191201,20191231,    1,  6.85,   3.01,    5.71,    0.56,    2.16,  10.2,  21.0,  -5.6,  66.92,    1,    62.1,   10.5
0,       2680,20180601,20180630,    3,  -999,  18.05,   24.33,   10.76,-999,  31.0,  -999,   5.4,-999,    9,    20.3,   17.3
1,       2680,20180701,20180731,    3,  -999,  20.38,   28.03,   11.03,-999,  36.1,  -999,   3.8,-999,    9,    57.0,   32.3
2,       2680,20180801,20180831,    3,  -999,  20.35,   27.65,   11.55,-999,  35.2,  -999,   2.1,-999,    9,    19.3,    7.5
3,       2680,20180901,20180930,    3,  -999,  14.42,   22.19,    6.66,-999,  29.5,  -999,  -2.1,-999,    9,    44.6,   15.2
4,       2680,20181001,20181031,    3,  -999,   9.73,   16.80,    3.13,-999,  25.0,  -999,  -3.3,-999,    3,    11.2,    2.6
5,       2680,20181101,20181130,    3,  -999,   4.62,    8.39,    0.57,-999,  17.4,  -999,  -6.2,-999,    3,    12.8,    2.7
6,       2680,20181201,20181231,    3,  -999,   3.43,    5.57,    0.99,-999,  12.2,  -999,  -4.8,-999,    3,    71.9,   14.1
7,       2680,20190101,20190131,    3,  -999,   0.40,    2.63,   -2.59,-999,   8.0,  -999, -12.3,-999,    3,    35.9,    4.7
8,       2680,20190201,20190228,    3,  -999,   1.96,    8.23,   -3.29,-999,  17.6,  -999,  -7.2,-999,    3,    15.1,    9.3
9,       2680,20190301,20190331,    3,  -999,   6.33,   11.31,    1.11,-999,  18.8,  -999,  -5.8,-999,    3,    41.0,   12.8
10,       2680,20190401,20190430,    3,  -999,   9.02,   16.10,    0.50,-999,  25.4,  -999,  -5.1,-999,    3,    32.7,    8.8
11,       2680,20190501,20190531,    3,  -999,  10.30,   15.97,    3.28,-999,  23.1,  -999,  -2.6,-999,    3,    86.4,   30.6
12,       2680,20190601,20190630,    3,  -999,  18.63,   26.19,    9.35,-999,  34.4,  -999,   2.0,-999,    3,    38.2,    9.1
13,       2680,20190701,20190731,    3,  -999,  18.27,   25.41,    9.56,-999,  37.2,  -999,   2.8,-999,    3,    31.7,    7.8
14,       2680,20190801,20190831,    3,  -999,  17.89,   25.10,   10.14,-999,  30.9,  -999,   4.2,-999,    3,    48.5,   20.4
15,       2680,20190901,20190930,    3,  -999,  12.91,   19.16,    5.52,-999,  25.7,  -999,  -3.0,-999,    3,    23.0,    8.2
16,       2680,20191001,20191031,    1,  -999,   9.37,   13.95,    4.78,-999,  23.1,  -999,  -6.9,-999,    1,    43.0,   11.1
17,       2680,20191101,20191130,    1,  -999,   3.70,    6.61,    0.18,-999,  13.5,  -999,  -6.1,-999,    1,    52.8,   13.0
18,       2680,20191201,20191231,    1,  -999,   1.60,    4.46,   -1.34,-999,   9.5,  -999,  -8.4,-999,    1,    40.2,    8.2
0,       3668,20180601,20180630,    3,  4.80,  19.04,   25.10,   12.76,    2.17,  30.4,  16.5,   6.7, 245.64,    9,    17.8,   12.8
1,       3668,20180701,20180731,    3,  3.83,  21.21,   28.06,   13.46,    2.06,  36.0,  19.7,   8.3, 323.45,    9,    44.2,   14.9
2,       3668,20180801,20180831,    3,  4.30,  21.52,   28.45,   13.98,    2.23,  34.9,  19.0,   4.8, 274.08,    9,     2.5,    1.0
3,       3668,20180901,20180930,    3,  4.38,  15.82,   23.05,    9.00,    2.13,  30.7,  22.5,  -0.6, 228.55,    9,    32.9,   19.6
4,       3668,20181001,20181031,    3,  4.16,  10.83,   17.83,    4.52,    2.06,  25.9,  15.9,  -2.1, 185.67,    3,    19.2,    7.8
5,       3668,20181101,20181130,    3,  5.78,   5.40,    9.22,    1.72,    2.27,  18.1,  13.7,  -4.0,  80.02,    3,    10.8,    4.7
6,       3668,20181201,20181231,    3,  6.97,   3.70,    6.35,    0.90,    2.68,  12.5,  20.1,  -5.8,  33.57,    3,   122.9,   36.3
7,       3668,20190101,20190131,    3,  6.63,   0.51,    2.89,   -2.07,    2.94,   8.1,  19.5,  -9.4,  54.30,    3,    48.8,   10.6
8,       3668,20190201,20190228,    3,  4.46,   2.97,    9.09,   -2.60,    2.32,  16.6,  19.2,  -7.8, 147.90,    3,    11.4,    5.0
9,       3668,20190301,20190331,    3,  5.25,   6.89,   11.96,    1.66,    2.94,  19.7,  26.2,  -3.1, 143.09,    3,    51.9,   13.3
10,       3668,20190401,20190430,    3,  4.52,  10.89,   17.26,    3.82,    2.53,  27.1,  22.3,  -2.0, 237.22,    3,    26.8,   10.6
11,       3668,20190501,20190531,    3,  5.73,  11.42,   16.88,    5.15,    2.45,  23.7,  16.3,  -3.0, 188.82,    3,    69.6,   23.7
12,       3668,20190601,20190630,    3,  3.93,  20.97,   27.97,   13.07,    2.27,  36.2,  20.9,   6.1, 328.78,    3,    41.4,   10.7
13,       3668,20190701,20190731,    3,  4.90,  20.46,   27.05,   13.51,    2.13,  37.8,  15.6,   5.3, 279.45,    3,    44.4,   13.7
14,       3668,20190801,20190831,    3,  4.56,  19.54,   25.70,   13.26,    1.94,  31.3,  23.0,   8.7, 242.05,    3,    80.9,   16.5
15,       3668,20190901,20190930,    3,  5.02,  14.55,   20.63,    8.04,    2.13,  27.6,  19.9,   0.0, 189.35,    3,    27.0,   10.0
16,       3668,20191001,20191031,    1,  5.60,  10.91,   15.82,    6.03,    2.16,  25.3,  15.3,  -2.4, 117.70,    1,    56.8,   10.9
17,       3668,20191101,20191130,    1,  6.73,   5.73,    8.87,    2.60,    2.33,  17.3,  11.5,  -3.2,  53.50,    1,    37.2,    9.5
18,       3668,20191201,20191231,    1,  6.01,   3.10,    6.50,   -0.33,    2.35,  13.2,  18.5,  -7.4,  69.38,    1,    44.0,    7.7
0,       7075,20180601,20180630,    3,  -999,  18.11,   24.69,   11.90,-999,  30.3,  -999,   5.2, 236.38,    9,   110.9,   32.5
1,       7075,20180701,20180731,    3,  -999,  19.51,   27.56,   12.06,-999,  34.9,  -999,   7.3, 303.92,    9,    34.9,   14.6
2,       7075,20180801,20180831,    3,  -999,  20.43,   28.40,   13.11,-999,  35.7,  -999,   6.3, 286.53,    9,    62.6,   18.6
3,       7075,20180901,20180930,    3,  -999,  15.02,   22.57,    8.91,-999,  29.8,  -999,   0.9, 221.13,    9,    35.2,   12.5
4,       7075,20181001,20181031,    3,  -999,  10.39,   17.31,    4.42,-999,  25.1,  -999,  -1.8, 171.55,    3,    43.0,   28.0
5,       7075,20181101,20181130,    3,  -999,   4.38,    7.73,    1.41,-999,  18.6,  -999,  -4.0,  70.48,    3,    24.8,   16.9
6,       7075,20181201,20181231,    3,  -999,   2.76,    5.25,    0.27,-999,  13.1,  -999,  -5.9,  21.90,    3,   102.9,   22.3
7,       7075,20190101,20190131,    3,  -999,  -0.47,    1.89,   -2.91,-999,   7.8,  -999,  -9.3,  42.55,    3,-999,   12.8
8,       7075,20190201,20190228,    3,  -999,   2.03,    8.14,   -2.95,-999,  17.6,  -999,  -9.2, 142.20,    3,    45.6,   25.8
9,       7075,20190301,20190331,    3,  -999,   6.47,   11.80,    1.44,-999,  18.8,  -999,  -3.9, 162.58,    3,    42.2,   10.7
10,       7075,20190401,20190430,    3,  -999,  10.39,   17.10,    3.51,-999,  27.1,  -999,  -0.2, 239.98,    3,    17.8,    8.3
11,       7075,20190501,20190531,    3,  -999,  10.98,   16.44,    5.32,-999,  23.8,  -999,  -1.2, 172.63,    3,    95.7,   34.4
12,       7075,20190601,20190630,    3,  -999,  20.15,   27.57,   12.56,-999,  35.1,  -999,   8.4, 330.65,    3,    56.6,   21.2
13,       7075,20190701,20190731,    3,  -999,  19.41,   27.59,   12.05,-999,  36.3,  -999,   4.4, 270.07,    3,    32.8,    9.0
14,       7075,20190801,20190831,    3,  -999,  19.00,   26.40,   12.73,-999,  33.7,  -999,   8.3, 244.23,    3,   103.7,   16.1
15,       7075,20190901,20190930,    3,  -999,  13.82,   20.62,    7.76,-999,  30.2,  -999,   0.9, 178.12,    3,    44.2,   15.4
16,       7075,20191001,20191031,    1,  -999,  10.41,   15.75,    5.94,-999,  24.5,  -999,  -1.4, 111.10,    1,    50.7,    8.9
17,       7075,20191101,20191130,    1,  -999,   4.88,    8.15,    1.82,-999,  16.9,  -999,  -2.8,  45.65,    1,    34.7,    8.1
18,       7075,20191201,20191231,    1,  -999,   2.48,    5.99,   -0.89,-999,  15.3,  -999,  -6.5,  78.12,    1,    37.2,    6.5
0,       5800,20180601,20180630,    3,  5.71,  16.34,   21.75,   10.73,    1.73,  27.7,  18.3,   5.3, 198.23,    9,   102.6,   29.3
1,       5800,20180701,20180731,    3,  4.69,  17.91,   24.90,   10.69,    1.58,  32.4,  20.3,   5.0, 264.33,    9,    33.1,   10.2
2,       5800,20180801,20180831,    3,  -999,  18.91,   26.15,   11.14,    1.68,  32.0,  14.3,   1.5, 275.42,    9,    37.8,   11.3
3,       5800,20180901,20180930,    3,  -999,  13.24,   20.46,    6.77,    1.37,  27.3,  20.6,  -2.8, 207.53,    9,    86.9,   29.7
4,       5800,20181001,20181031,    3,  4.68,   9.27,   16.48,    2.76,    1.58,  24.6,  17.2,  -2.8, 170.09,    3,    45.6,   15.1
5,       5800,20181101,20181130,    3,  5.76,   3.21,    8.86,   -1.41,    1.43,  19.9,  13.2, -10.0, 123.70,    3,    18.2,    7.4
6,       5800,20181201,20181231,    3,  -999,   0.64,    3.22,   -1.86,    1.71,   9.2,  20.6, -10.2,  28.78,    3,   250.0,   40.8
7,       5800,20190101,20190131,    3,  6.26,  -3.00,    0.45,   -6.69,    1.87,   4.3,  20.7, -17.0,  44.48,    3,   180.4,   30.5
8,       5800,20190201,20190228,    3,  4.26,   0.07,    7.27,   -5.84,    1.39,  14.6,  14.3, -14.8, 156.03,    3,    39.2,    7.5
9,       5800,20190301,20190331,    3,  5.19,   4.39,    9.69,   -0.46,    2.06,  17.9,  24.4,  -4.4, 133.35,    3,   120.0,   38.0
10,       5800,20190401,20190430,    3,  3.56,   9.02,   15.42,    2.06,    2.20,  24.9,  13.7,  -1.5, 254.33,    3,    14.2,    7.1
11,       5800,20190501,20190531,    3,  5.94,   9.34,   14.19,    3.95,    1.81,  21.6,  15.7,  -2.8, 129.55,    3,    89.5,   16.9
12,       5800,20190601,20190630,    3,  3.39,  19.61,   26.75,   11.93,    1.87,  34.3,  16.3,   7.0, 294.22,    3,    40.3,   11.8
13,       5800,20190701,20190731,    3,  4.61,  18.25,   24.77,   11.54,    1.81,  34.0,  16.8,   4.8, 237.38,    3,    73.6,   26.8
14,       5800,20190801,20190831,    3,  5.42,  17.45,   23.59,   11.77,    1.55,  28.8,  18.8,   5.6, 195.15,    3,   103.9,   24.0
15,       5800,20190901,20190930,    3,  4.92,  12.48,   18.14,    6.78,    1.57,  26.6,  17.5,  -0.7, 162.38,    3,    46.8,    9.6
16,       5800,20191001,20191031,    1,  4.86,   8.98,   15.35,    3.57,    1.45,  26.2,  13.0,  -3.9, 163.62,    1,   115.9,   22.8
17,       5800,20191101,20191130,    1,  5.71,   3.40,    7.98,   -0.54,    1.33,  15.0,  11.1,  -6.0,  85.32,    1,    66.8,   10.8
18,       5800,20191201,20191231,    1,  5.46,   0.88,    4.81,   -2.40,    1.45,  14.7,  18.2,  -8.4,  70.02,    1,-999,   11.4
0,       1103,20180601,20180605,-999,-999,-999,-999,-999,-999,  27.5,  -999,  12.8,-999,-999,-999,    0.4
1,       1103,20180701,20180731,-999,-999,-999,-999,-999,-999,  32.3,  -999,   9.6,-999,    9,    72.4,   19.5
2,       1103,20180801,20180831,    3,  -999,  20.09,   26.25,   14.88,-999,  33.0,  -999,   6.0,-999,    9,   114.9,   33.2
3,       1103,20180901,20180930,    3,  -999,  15.06,   20.62,   10.44,-999,  27.8,  -999,   1.7,-999,    9,   102.3,   24.4
4,       1103,20181001,20181031,    3,  -999,  10.96,   15.65,    7.05,-999,  23.4,  -999,   0.3,-999,    3,    40.9,   16.9
5,       1103,20181101,20181130,    3,  -999,   4.24,    7.37,    1.73,-999,  18.7,  -999,  -4.2,-999,    3,    26.4,   11.5
6,       1103,20181201,20181231,    3,  -999,   2.30,    5.08,   -0.32,-999,  13.6,  -999,  -7.9,-999,    3,   108.6,   20.1
7,       1103,20190101,20190131,    3,  -999,  -1.35,    0.88,   -3.70,-999,   7.5,  -999,  -8.3,-999,    3,   116.3,   19.6
8,       1103,20190201,20190228,    3,  -999,   2.60,    7.38,   -1.56,-999,  16.5,  -999, -11.3,-999,    3,    62.1,   22.6
9,       1103,20190301,20190331,    3,  -999,   6.32,   11.03,    2.35,-999,  19.1,  -999,  -1.6,-999,    3,    55.0,   12.1
10,       1103,20190401,20190430,    3,  -999,   9.59,   14.89,    4.64,-999,  24.8,  -999,   1.0,-999,    3,    22.2,   11.7
11,       1103,20190501,20190531,    3,  -999,  10.20,   14.73,    6.16,-999,  21.6,  -999,   0.9,-999,    3,   237.2,  108.3
12,       1103,20190601,20190630,    3,  -999,  19.76,   25.65,   13.62,-999,  33.7,  -999,   9.4,-999,    3,    62.9,   18.9
13,       1103,20190701,20190731,    3,  -999,  19.04,   24.30,   14.15,-999,  32.1,  -999,   9.1,-999,    3,   134.4,   27.1
14,       1103,20190801,20190831,    3,  -999,  18.50,   23.77,   13.91,-999,  30.3,  -999,   9.6,-999,    3,    97.2,   26.4
15,       1103,20190901,20190930,    3,  -999,  13.93,   18.59,    9.65,-999,  26.3,  -999,   4.1,-999,    3,    53.3,   18.0
16,       1103,20191001,20191031,    1,  -999,  10.69,   15.26,    6.88,-999,  23.0,  -999,   1.4,-999,    1,    79.5,   20.0
17,       1103,20191101,20191130,    1,  -999,   4.09,    7.11,    1.36,-999,  14.3,  -999,  -2.6,-999,    1,    29.5,    5.6
18,       1103,20191201,20191231,    1,  -999,   2.82,    6.34,   -0.79,-999,  15.8,  -999,  -8.0,-999,    1,    52.2,    9.8
0,       4280,20180601,20180630,    3,  5.45,  18.28,   24.45,   12.16,    1.93,  30.2,  16.7,   5.9,-999,    9,   123.9,   62.5
1,       4280,20180701,20180731,    3,  4.28,  20.56,   27.55,   12.80,    1.87,  36.1,  17.9,   6.9,-999,    9,    27.5,   10.8
2,       4280,20180801,20180831,    3,  -999,  20.55,   27.53,   13.31,    1.84,  34.3,  25.8,   5.6,-999,    9,    41.4,   21.8
3,       4280,20180901,20180930,    3,  -999,  15.28,   22.33,    8.47,    1.83,  30.5,  29.4,  -2.1,-999,    9,    35.3,   13.6
4,       4280,20181001,20181031,    3,  4.80,  10.17,   16.92,    4.37,    1.87,  24.5,  18.0,  -3.3,-999,    3,    28.9,   10.5
5,       4280,20181101,20181130,    3,  6.43,   4.60,    8.16,    1.14,    1.87,  17.1,  12.1,  -5.0,-999,    3,    18.3,    8.5
6,       4280,20181201,20181231,    3,  7.45,   3.10,    5.58,    0.66,    2.52,  11.4,  20.0,  -5.2,-999,    3,   121.3,   44.2
7,       4280,20190101,20190131,    3,  6.85,  -0.26,    2.25,   -2.86,    2.77,   7.3,  17.0, -12.4,-999,    3,    59.7,   10.4
8,       4280,20190201,20190228,    3,  5.34,   2.52,    8.78,   -2.87,    1.96,  17.3,  17.6,  -7.0,-999,    3,    20.7,    4.6
9,       4280,20190301,20190331,    3,  5.79,   6.50,   11.73,    1.15,    2.77,  19.3,  25.9,  -4.5,-999,    3,    43.6,    8.1
10,       4280,20190401,20190430,    3,  5.43,  10.11,   16.83,    3.20,    2.27,  26.6,  19.7,  -2.5,-999,    3,    20.3,    8.1
11,       4280,20190501,20190531,    3,  6.33,  11.17,   16.90,    4.80,    2.19,  23.9,  16.6,  -3.4,-999,    3,    69.0,   30.0
12,       4280,20190601,20190630,    3,  4.28,  20.50,   27.62,   12.42,    2.03,  36.7,  18.5,   5.8,-999,    3,    44.7,   10.5
13,       4280,20190701,20190731,    3,  5.40,  20.42,   27.25,   13.43,    2.13,  36.9,  24.7,   5.4,-999,    3,    38.6,   15.6
14,       4280,20190801,20190831,    3,  4.91,  19.18,   25.31,   13.23,    1.81,  31.4,  32.4,   8.3,-999,    3,   121.1,   19.9
15,       4280,20190901,20190930,    3,  5.51,  14.10,   20.06,    7.87,    2.00,  27.3,  19.6,  -0.6,-999,    3,    21.7,    6.2
16,       4280,20191001,20191031,    1,  6.25,  10.49,   15.53,    5.50,    2.03,  24.9,  14.5,  -4.1,-999,    1,    48.8,   10.4
17,       4280,20191101,20191130,    1,  7.24,   5.21,    8.44,    2.22,    1.87,  17.4,  12.3,  -3.5,-999,    1,    37.6,   11.8
18,       4280,20191201,20191231,    1,  6.70,   2.63,    6.07,   -0.87,    1.97,  12.5,  22.8,  -8.0,-999,    1,    40.2,    6.5
0,       3857,20180601,20180630,    3,  -999,  15.81,   21.65,    9.99,-999,  26.8,  -999,   4.8,-999,    9,   104.8,   21.6
1,       3857,20180701,20180731,    3,  -999,  17.82,   24.10,   11.48,-999,  31.1,  -999,   7.3,-999,    9,   107.7,   23.2
2,       3857,20180801,20180831,    3,  -999,  18.08,   24.65,   11.95,-999,  30.8,  -999,   4.1,-999,    9,   136.5,   25.7
3,       3857,20180901,20180930,    3,  -999,  13.73,   20.28,    7.81,-999,  25.9,  -999,  -1.3,-999,    9,   121.0,   30.2
4,       3857,20181001,20181031,    3,  -999,   9.32,   15.71,    3.69,-999,  23.8,  -999,  -2.9,-999,    3,    65.5,   26.8
5,       3857,20181101,20181130,    3,  -999,   3.78,    8.99,   -0.14,-999,  21.3,  -999,  -6.7,-999,    3,    18.5,    6.7
6,       3857,20181201,20181231,    3,  -999,   1.11,    4.85,   -2.74,-999,  11.8,  -999, -13.5,-999,    3,   187.6,   30.4
7,       3857,20190101,20190131,    3,  -999,  -3.03,    0.25,   -6.83,-999,   6.1,  -999, -15.6,-999,    3,   201.6,   37.8
8,       3857,20190201,20190228,    3,  -999,   0.82,    7.06,   -4.70,-999,  13.3,  -999, -12.9,-999,    3,    55.7,   16.4
9,       3857,20190301,20190331,    3,  -999,   4.48,    9.77,   -0.26,-999,  17.0,  -999,  -5.6,-999,    3,   125.2,   22.4
10,       3857,20190401,20190430,    3,  -999,   7.42,   12.69,    1.87,-999,  22.2,  -999,  -2.4,-999,    3,    47.4,    9.0
11,       3857,20190501,20190531,    3,  -999,   7.94,   12.96,    3.09,-999,  20.4,  -999,  -3.2,-999,    3,   285.3,   82.6
12,       3857,20190601,20190630,    3,  -999,  17.90,   24.52,   10.73,-999,  33.8,  -999,   5.5,-999,    3,   102.0,   26.6
13,       3857,20190701,20190731,    3,  -999,  17.84,   23.74,   11.98,-999,  31.7,  -999,   6.4,-999,    3,   163.0,   70.7
14,       3857,20190801,20190831,    3,  -999,  16.86,   22.65,   11.45,-999,  30.5,  -999,   6.6,-999,    3,   258.5,   41.3
15,       3857,20190901,20190930,    3,  -999,  12.59,   17.93,    7.27,-999,  24.4,  -999,   0.7,-999,    3,   120.4,   18.1
16,       3857,20191001,20191031,    1,  -999,   9.77,   15.29,    4.87,-999,  22.8,  -999,   1.2,-999,    1,   177.3,   29.3
17,       3857,20191101,20191130,    1,  -999,   3.58,    7.31,   -0.19,-999,  16.0,  -999,  -6.1,-999,    1,    67.9,   19.0
18,       3857,20191201,20191231,    1,  -999,   2.01,    6.59,   -2.67,-999,  16.0,  -999, -10.6,-999,    1,    96.5,   14.1
0,       3366,20180601,20180630,    3,  5.21,  18.15,   24.13,   11.81,    1.90,  30.4,  14.7,   4.6, 234.13,    9,   148.8,   63.4
1,       3366,20180701,20180731,    3,  4.17,  19.30,   26.69,   11.65,    1.77,  33.9,  14.6,   5.8, 287.64,    9,    40.1,   12.7
2,       3366,20180801,20180831,    3,  -999,  20.28,   27.85,   13.03,    1.77,  34.8,  20.5,   5.9, 274.72,    9,    83.0,   26.3
3,       3366,20180901,20180930,    3,  -999,  14.84,   21.92,    8.42,    1.53,  29.0,  24.2,  -0.5, 220.37,    9,    60.4,   12.4
